,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25,,,467.538330078125,,,,,,467.538330078125,,,,,,477.9056396484375,,,,,,466.04595947265625,,,,,,477.7105407714844,,,,,,30460525,,,
2014-09-26,,,461.5143127441406,,,,,,461.5143127441406,,,,,,471.19915771484375,,,,,,455.2799987792969,,,,,,467.37359619140625,,,,,,24490243,,,
2014-09-27,,,455.9169006347656,,,,,,455.9169006347656,,,,,,464.0225830078125,,,,,,453.4657287597656,,,,,,460.52264404296875,,,,,,17150862,,,
2014-09-28,,,431.90313720703125,,,,,,431.90313720703125,,,,,,457.625244140625,,,,,,427.4172058105469,,,,,,455.86102294921875,,,,,,27039162,,,
2014-09-29,,,431.02630615234375,,,,,,431.02630615234375,,,,,,441.1486511230469,,,,,,426.9786682128906,,,,,,431.6134338378906,,,,,,37306509,,,
2014-09-30,,,442.9303894042969,,,,,,442.9303894042969,,,,,,446.6266784667969,,,,,,428.113037109375,,,,,,431.73919677734375,,,,,,39729052,,,
2014-10-01,,,438.8183288574219,,,,,,438.8183288574219,,,,,,451.7301330566406,,,,,,436.07421875,,,,,,443.4832763671875,,,,,,30003889,,,
2014-10-02,,,426.6059875488281,,,,,,426.6059875488281,,,,,,438.16436767578125,,,,,,424.043212890625,,,,,,439.2450256347656,,,,,,24769904,,,
2014-10-03,,,414.51861572265625,,,,,,414.51861572265625,,,,,,431.15869140625,,,,,,412.6127014160156,,,,,,426.72998046875,,,,,,35629194,,,
2014-10-04,,,379.18365478515625,,,,,,379.18365478515625,,,,,,420.25482177734375,,,,,,375.7477111816406,,,,,,414.9567565917969,,,,,,54463853,,,
2014-10-05,,,370.06121826171875,,,,,,370.06121826171875,,,,,,394.0977783203125,,,,,,333.5592956542969,,,,,,379.2413024902344,,,,,,96187618,,,
2014-10-06,,,376.5016784667969,,,,,,376.5016784667969,,,,,,395.2972106933594,,,,,,348.2905578613281,,,,,,369.9215087890625,,,,,,90124102,,,
2014-10-07,,,381.72705078125,,,,,,381.72705078125,,,,,,388.2877502441406,,,,,,364.805908203125,,,,,,377.07769775390625,,,,,,55864540,,,
2014-10-08,,,399.3889465332031,,,,,,399.3889465332031,,,,,,400.90960693359375,,,,,,373.20404052734375,,,,,,381.64642333984375,,,,,,61939912,,,
2014-10-09,,,416.6012268066406,,,,,,416.6012268066406,,,,,,435.6585388183594,,,,,,391.84832763671875,,,,,,399.1716613769531,,,,,,95458918,,,
2014-10-10,,,416.3062744140625,,,,,,416.3062744140625,,,,,,427.4267578125,,,,,,405.3318786621094,,,,,,416.21435546875,,,,,,50277145,,,
2014-10-11,,,417.1548767089844,,,,,,417.1548767089844,,,,,,422.7875671386719,,,,,,409.845703125,,,,,,416.07598876953125,,,,,,15365803,,,
2014-10-12,,,436.26715087890625,,,,,,436.26715087890625,,,,,,437.739990234375,,,,,,410.0679626464844,,,,,,417.5083312988281,,,,,,20229111,,,
2014-10-13,,,446.1364440917969,,,,,,446.1364440917969,,,,,,453.5061340332031,,,,,,422.56243896484375,,,,,,435.5433654785156,,,,,,40248429,,,
2014-10-14,,,460.2939453125,,,,,,460.2939453125,,,,,,468.79754638671875,,,,,,447.6366882324219,,,,,,447.5968322753906,,,,,,44197382,,,
2014-10-15,,,449.1160583496094,,,,,,449.1160583496094,,,,,,462.5957336425781,,,,,,442.3827819824219,,,,,,460.39154052734375,,,,,,28745279,,,
2014-10-16,,,436.2595520019531,,,,,,436.2595520019531,,,,,,453.5505676269531,,,,,,426.02490234375,,,,,,448.8259582519531,,,,,,30778880,,,
2014-10-17,,,439.0321350097656,,,,,,439.0321350097656,,,,,,440.9998779296875,,,,,,427.3067932128906,,,,,,436.4876403808594,,,,,,15559661,,,
2014-10-18,,,447.8228759765625,,,,,,447.8228759765625,,,,,,452.0741271972656,,,,,,433.5556640625,,,,,,439.28155517578125,,,,,,13061206,,,
2014-10-19,,,445.0428161621094,,,,,,445.0428161621094,,,,,,450.6795654296875,,,,,,442.1199035644531,,,,,,447.6078186035156,,,,,,6757192,,,
2014-10-20,,,436.2408752441406,,,,,,436.2408752441406,,,,,,444.79364013671875,,,,,,431.7452392578125,,,,,,444.6829528808594,,,,,,18708979,,,
2014-10-21,,,440.9298400878906,,,,,,440.9298400878906,,,,,,445.78338623046875,,,,,,434.04833984375,,,,,,435.75775146484375,,,,,,16188135,,,
2014-10-22,,,437.0955810546875,,,,,,437.0955810546875,,,,,,442.5694580078125,,,,,,435.0164794921875,,,,,,440.5225524902344,,,,,,13280059,,,
2014-10-23,,,409.52581787109375,,,,,,409.52581787109375,,,,,,439.904052734375,,,,,,406.9958801269531,,,,,,436.87200927734375,,,,,,30229548,,,
2014-10-24,,,407.4880676269531,,,,,,407.4880676269531,,,,,,413.3238830566406,,,,,,402.9941711425781,,,,,,409.7246398925781,,,,,,17723107,,,
2014-10-25,,,394.8953857421875,,,,,,394.8953857421875,,,,,,409.2119445800781,,,,,,389.8988037109375,,,,,,407.79052734375,,,,,,20613486,,,
2014-10-26,,,402.93536376953125,,,,,,402.93536376953125,,,,,,408.48419189453125,,,,,,391.09735107421875,,,,,,395.1409912109375,,,,,,12805294,,,
2014-10-27,,,400.9416198730469,,,,,,400.9416198730469,,,,,,407.2586669921875,,,,,,397.374755859375,,,,,,403.018310546875,,,,,,14803498,,,
2014-10-28,,,403.72320556640625,,,,,,403.72320556640625,,,,,,407.40606689453125,,,,,,400.135009765625,,,,,,401.19830322265625,,,,,,8857394,,,
2014-10-29,,,382.78887939453125,,,,,,382.78887939453125,,,,,,403.6924743652344,,,,,,381.8526306152344,,,,,,403.1259765625,,,,,,20751340,,,
2014-10-30,,,391.1918029785156,,,,,,391.1918029785156,,,,,,396.96038818359375,,,,,,379.77105712890625,,,,,,382.9234924316406,,,,,,34188173,,,
2014-10-31,,,384.4993896484375,,,,,,384.4993896484375,,,,,,394.20660400390625,,,,,,383.2030029296875,,,,,,390.8564758300781,,,,,,14257757,,,
2014-11-01,,,370.21136474609375,,,,,,370.21136474609375,,,,,,387.00872802734375,,,,,,364.8766784667969,,,,,,384.8732604980469,,,,,,18953517,,,
2014-11-02,,,372.447998046875,,,,,,372.447998046875,,,,,,373.9629211425781,,,,,,364.3891296386719,,,,,,370.5819091796875,,,,,,9832709,,,
2014-11-03,,,376.9754638671875,,,,,,376.9754638671875,,,,,,382.8103332519531,,,,,,371.723388671875,,,,,,372.078857421875,,,,,,14902175,,,
2014-11-04,,,378.007568359375,,,,,,378.007568359375,,,,,,380.24871826171875,,,,,,371.941650390625,,,,,,376.523193359375,,,,,,17906325,,,
2014-11-05,,,395.8097229003906,,,,,,395.8097229003906,,,,,,399.49853515625,,,,,,378.3991394042969,,,,,,378.22601318359375,,,,,,23105048,,,
2014-11-06,,,408.00140380859375,,,,,,408.00140380859375,,,,,,412.1990051269531,,,,,,393.51629638671875,,,,,,395.777099609375,,,,,,21956547,,,
2014-11-07,,,396.68096923828125,,,,,,396.68096923828125,,,,,,412.45556640625,,,,,,396.26202392578125,,,,,,408.6181335449219,,,,,,19502085,,,
2014-11-08,,,400.240966796875,,,,,,400.240966796875,,,,,,402.0296630859375,,,,,,396.3785705566406,,,,,,396.3785705566406,,,,,,9888172,,,
