,,0
Close,ADA-AUD,1.0026426860207729
Close,BCH-AUD,0.35061238619210533
Close,BTC-AUD,1.0200488676652544
Close,ETH-AUD,0.8712975516900628
Close,SOL-AUD,1.8836933197380863
Close,XRP-AUD,0.7169645718325199
