,Close,Close,Close,Close,Close,Close
,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD
Date,,,,,,
2014-09-17,,,,,,
2014-09-18,,,0.9255940478202489,,,
2014-09-19,,,0.8660596403668286,,,
2014-09-20,,,0.8970082044708761,,,
2014-09-21,,,0.8740080875749158,,,
2014-09-22,,,0.8872653803648735,,,
2014-09-23,,,0.9645254824826984,,,
2014-09-24,,,0.9356117806266822,,,
2014-09-25,,,0.915583187731327,,,
2014-09-26,,,0.9037863175310238,,,
2014-09-27,,,0.8928248709662232,,,
2014-09-28,,,0.8457985703313275,,,
2014-09-29,,,0.8440814666833368,,,
2014-09-30,,,0.8673933061404807,,,
2014-10-01,,,0.8593406326772741,,,
2014-10-02,,,0.8354251295716425,,,
2014-10-03,,,0.8117543549721546,,,
2014-10-04,,,0.7425576836145097,,,
2014-10-05,,,0.7246931600563878,,,
2014-10-06,,,0.7373055528927931,,,
2014-10-07,,,0.7475384316386932,,,
2014-10-08,,,0.7821258307322594,,,
2014-10-09,,,0.8158327450685569,,,
2014-10-10,,,0.8152551379838489,,,
2014-10-11,,,0.8169169610779486,,,
2014-10-12,,,0.8543446451490454,,,
2014-10-13,,,0.8736717427562162,,,
2014-10-14,,,0.9013964644828723,,,
2014-10-15,,,0.8795067396856054,,,
2014-10-16,,,0.8543297642215655,,,
2014-10-17,,,0.8597593305805815,,,
2014-10-18,,,0.8769742926897958,,,
2014-10-19,,,0.8715300844543439,,,
2014-10-20,,,0.8542931894118561,,,
2014-10-21,,,0.8634756181083083,,,
2014-10-22,,,0.8559669650581484,,,
2014-10-23,,,0.8019769282275541,,,
2014-10-24,,,0.7979863893897676,,,
2014-10-25,,,0.7733260629942533,,,
2014-10-26,,,0.7890708014210154,,,
2014-10-27,,,0.7851664404845377,,,
2014-10-28,,,0.7906136368580376,,,
2014-10-29,,,0.7496178171436415,,,
2014-10-30,,,0.7660733140865372,,,
2014-10-31,,,0.752967519895621,,,
2014-11-01,,,0.7249871928403259,,,
2014-11-02,,,0.7293672055913085,,,
2014-11-03,,,0.7382333697567443,,,
2014-11-04,,,0.740254546332515,,,
