,Close,Close,Close,Close,Close,Close
,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD
Date,,,,,,
2014-09-17,,,510.6453857421875,,,
2014-09-18,,,472.65032958984375,,,
2014-09-19,,,442.2493591308594,,,
2014-09-20,,,458.0531005859375,,,
2014-09-21,,,446.3081970214844,,,
2014-09-22,,,453.0779724121094,,,
2014-09-23,,,492.5304870605469,,,
2014-09-24,,,477.7658386230469,,,
2014-09-25,,,467.538330078125,,,
2014-09-26,,,461.5143127441406,,,
2014-09-27,,,455.9169006347656,,,
2014-09-28,,,431.90313720703125,,,
2014-09-29,,,431.02630615234375,,,
2014-09-30,,,442.9303894042969,,,
2014-10-01,,,438.8183288574219,,,
2014-10-02,,,426.6059875488281,,,
2014-10-03,,,414.51861572265625,,,
2014-10-04,,,379.18365478515625,,,
2014-10-05,,,370.06121826171875,,,
2014-10-06,,,376.5016784667969,,,
2014-10-07,,,381.72705078125,,,
2014-10-08,,,399.3889465332031,,,
2014-10-09,,,416.6012268066406,,,
2014-10-10,,,416.3062744140625,,,
2014-10-11,,,417.1548767089844,,,
2014-10-12,,,436.26715087890625,,,
2014-10-13,,,446.1364440917969,,,
2014-10-14,,,460.2939453125,,,
2014-10-15,,,449.1160583496094,,,
2014-10-16,,,436.2595520019531,,,
2014-10-17,,,439.0321350097656,,,
2014-10-18,,,447.8228759765625,,,
2014-10-19,,,445.0428161621094,,,
2014-10-20,,,436.2408752441406,,,
2014-10-21,,,440.9298400878906,,,
2014-10-22,,,437.0955810546875,,,
2014-10-23,,,409.52581787109375,,,
2014-10-24,,,407.4880676269531,,,
2014-10-25,,,394.8953857421875,,,
2014-10-26,,,402.93536376953125,,,
2014-10-27,,,400.9416198730469,,,
2014-10-28,,,403.72320556640625,,,
2014-10-29,,,382.78887939453125,,,
2014-10-30,,,391.1918029785156,,,
2014-10-31,,,384.4993896484375,,,
2014-11-01,,,370.21136474609375,,,
2014-11-02,,,372.447998046875,,,
2014-11-03,,,376.9754638671875,,,
2014-11-04,,,378.007568359375,,,
2014-11-05,,,395.8097229003906,,,
2014-11-06,,,408.00140380859375,,,
